,,Danseur:mainD11,,,Danseur:mainD12,,,Danseur:mainD13,,,Danseur:tete1,,,Danseur:tete2,,,Danseur:tete3,,,Danseur:tete4,,,Danseur:epaules1,,,Danseur:epaules2,,,Danseur:epaules3,,,Danseur:epaules4,,,Danseur:brasD2,,,Danseur:brasD3,,,Danseur:colonne2,,,Danseur:colonne3,,,Danseur:colonne4,,,Danseur:homoplateD1,,,Danseur:piedD1,,,Danseur:piedD2,,,Danseur:piedD3,,,Danseur:piedG1,,,Danseur:piedG2,,,Danseur:piedG3,,,Danseur:mainG1,,,Danseur:mainG2,,,Danseur:mainG3,,,Danseur:avantbrasG1,,,Danseur:brasG2,,,Danseur:bassin1,,,Danseur:bassin4,,,Danseur:sternum1,,,Danseur:molletD1,,,Danseur:molletG1,,,Danseur:cuisseG1,,,Danseur:cuisseG2,,,Danseur:cuisseD1,,,Danseur:cuisseD21,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
268,0,695.578,52.406,1051.34,777.101,59.3392,1018.01,702.565,-6.156,1012.76,213.158,-183.369,1566.39,67.4797,-181.838,1575.65,107.668,20.9638,1604.83,199.405,0.692814,1585.4,288.472,-138.492,1375.15,139.872,-51.2725,1326.97,-18.4905,-133.413,1380.59,143.168,-170.218,1396.28,458.103,-127.015,1201.07,530.938,-85.4045,1163.12,144.776,-206.975,1134.58,114.528,-183.368,1007.57,197.175,-184.135,1003.9,241.624,-228.848,1287.9,252.6,-1.4197,66.086,284.092,-135.383,113.966,241.476,-188.383,96.4519,-3.2838,-133.545,110.279,43.5171,-174.851,84.102,45.4493,9.79661,68.4889,-19.0738,14.4651,835.24,-72.9387,-30.6796,817.5,-46.1052,37.4882,775.054,-89.4562,-71.7533,1051.46,-81.2792,-114.173,1272.91,46.5958,-6.80421,960.581,257.566,-14.0688,974.746,152.204,15.4706,1194.22,295.231,-126.451,464.108,-15.3886,-126.147,474.92,-33.3883,-82.9926,824.505,-18.1368,-78.5705,615.048,327.621,-101.275,839.728,318.085,-59.9717,715.027
269,0,695.475,52.4452,1051.42,777.035,59.4855,1018.18,702.665,-6.25407,1013.03,213.036,-183.443,1566.43,67.4607,-181.705,1575.61,107.558,20.8826,1604.78,199.274,0.600772,1585.41,288.412,-138.541,1375.17,139.782,-51.382,1326.9,-18.5395,-133.498,1380.58,143.105,-170.3,1396.31,458.166,-127.137,1201.29,530.956,-85.3413,1163.26,144.739,-207.01,1134.52,114.546,-183.471,1007.58,197.15,-184.222,1003.89,241.554,-228.895,1287.92,252.597,-1.44745,66.0552,284.084,-135.409,113.954,241.487,-188.387,96.4869,-3.28781,-133.532,110.272,43.5447,-174.891,84.1965,45.4578,9.80671,68.4878,-19.0818,14.4454,835.259,-72.9198,-30.7427,817.477,-46.129,37.4591,775.061,-89.4795,-71.8387,1051.42,-81.3397,-114.333,1272.86,46.595,-6.89347,960.611,257.515,-14.1659,974.769,152.094,15.2399,1194.18,295.208,-126.466,464.104,-15.394,-126.166,474.908,-33.4177,-83.039,824.541,-18.1311,-78.5997,615.028,327.633,-101.405,839.733,318.091,-60.0396,715.038
270,0,695.399,52.5561,1051.46,776.959,59.5801,1018.33,702.761,-6.37912,1013.31,212.899,-183.469,1566.44,67.3735,-181.608,1575.55,107.445,20.8137,1604.77,199.152,0.497874,1585.38,288.335,-138.584,1375.2,139.706,-51.4583,1326.88,-18.6293,-133.698,1380.55,143.015,-170.398,1396.32,458.257,-127.237,1201.53,531.039,-85.3826,1163.52,144.722,-207.113,1134.55,114.516,-183.633,1007.58,197.117,-184.321,1003.87,241.499,-228.965,1287.95,252.603,-1.41967,66.0978,284.093,-135.415,113.966,241.481,-188.319,96.3989,-3.31373,-133.543,110.277,43.5399,-174.865,84.0998,45.4529,9.79648,68.4989,-19.0764,14.455,835.297,-72.8798,-30.7637,817.478,-46.1175,37.4558,775.08,-89.5086,-71.979,1051.38,-81.3855,-114.449,1272.84,46.6095,-7.03988,960.594,257.507,-14.2873,974.785,152.014,15.0602,1194.11,295.228,-126.513,464.129,-15.3798,-126.16,474.906,-33.4389,-83.1018,824.531,-18.1397,-78.6799,615.066,327.632,-101.497,839.727,318.092,-60.0978,715.073
271,0,695.249,52.6212,1051.49,776.881,59.6835,1018.48,702.818,-6.4319,1013.49,212.748,-183.473,1566.49,67.4187,-181.472,1575.54,107.295,20.7194,1604.73,199.016,0.397999,1585.4,288.269,-138.622,1375.24,139.633,-51.6277,1326.85,-18.6986,-133.802,1380.55,142.989,-170.448,1396.33,458.355,-127.363,1201.78,531.059,-85.409,1163.79,144.674,-207.201,1134.53,114.515,-183.696,1007.56,197.117,-184.457,1003.87,241.449,-229.112,1288,252.607,-1.47754,66.0432,284.101,-135.414,113.953,241.465,-188.409,96.5046,-3.30597,-133.532,110.264,43.5333,-174.844,84.0875,45.4459,9.78273,68.5134,-19.0431,14.4008,835.302,-72.8442,-30.8425,817.489,-46.0651,37.4065,775.112,-89.5311,-72.1246,1051.37,-81.4611,-114.613,1272.82,46.6209,-7.14867,960.593,257.482,-14.3066,974.855,151.943,14.8523,1194.05,295.221,-126.537,464.132,-15.3934,-126.192,474.904,-33.43,-83.1237,824.495,-18.131,-78.6744,615.016,327.626,-101.59,839.742,318.072,-60.2115,715.087
272,0,695.177,52.6774,1051.43,776.763,59.84,1018.57,702.914,-6.459,1013.7,212.835,-183.727,1566.48,67.3067,-181.462,1575.5,107.147,20.645,1604.72,198.888,0.361382,1585.43,288.19,-138.703,1375.27,139.541,-51.7314,1326.84,-18.7769,-133.955,1380.57,142.922,-170.474,1396.35,458.461,-127.499,1202.12,531.092,-85.3,1164.03,144.631,-207.325,1134.55,114.485,-183.885,1007.6,197.102,-184.522,1003.84,241.404,-229.192,1288.09,252.614,-1.44629,66.0734,284.095,-135.415,113.972,241.476,-188.32,96.4437,-3.30298,-133.559,110.268,43.4899,-174.831,84.0643,45.4593,9.80692,68.5154,-19.0182,14.3763,835.32,-72.7664,-30.94,817.475,-46.0338,37.3154,775.12,-89.5609,-72.2447,1051.34,-81.4981,-114.709,1272.8,46.6107,-7.2572,960.58,257.46,-14.4304,974.886,151.858,14.6905,1194.01,295.217,-126.561,464.119,-15.4067,-126.229,474.921,-33.5073,-83.1596,824.529,-18.1251,-78.6588,614.979,327.637,-101.729,839.74,318.078,-60.3218,715.088
273,0,694.959,52.7846,1051.34,776.63,60.0367,1018.65,702.981,-6.50232,1013.88,212.467,-183.426,1566.5,67.2814,-181.479,1575.54,106.984,20.5826,1604.72,198.734,0.261191,1585.42,288.123,-138.724,1375.34,139.433,-51.8934,1326.8,-18.8604,-134.061,1380.57,142.828,-170.537,1396.36,458.572,-127.497,1202.4,531.145,-85.2813,1164.36,144.6,-207.446,1134.58,114.46,-183.985,1007.57,197.061,-184.676,1003.85,241.326,-229.265,1288.13,252.619,-1.42,66.0844,284.095,-135.416,113.983,241.479,-188.354,96.4236,-3.3144,-133.554,110.248,43.5033,-174.887,84.1491,45.4566,9.76326,68.5038,-19.0122,14.2552,835.341,-72.7197,-31.0102,817.508,-45.9615,37.2373,775.14,-89.5922,-72.3401,1051.33,-81.5707,-114.867,1272.79,46.6026,-7.43244,960.573,257.441,-14.492,974.99,151.772,14.5477,1193.97,295.209,-126.61,464.122,-15.4187,-126.26,474.905,-33.5373,-83.2923,824.56,-18.1142,-78.6619,614.953,327.622,-101.832,839.764,318.08,-60.4609,715.125
274,0,694.706,52.9497,1051.32,776.463,60.2646,1018.68,703.046,-6.57355,1014.1,212.362,-183.462,1566.51,67.2483,-181.473,1575.53,106.847,20.5212,1604.72,198.586,0.165563,1585.43,288.047,-138.75,1375.39,139.354,-52.0283,1326.76,-18.9276,-134.164,1380.58,142.763,-170.508,1396.33,458.669,-127.505,1202.7,531.21,-85.2027,1164.68,144.533,-207.531,1134.59,114.427,-184.069,1007.57,197.035,-184.814,1003.85,241.297,-229.332,1288.19,252.613,-1.45109,66.0989,284.074,-135.424,113.971,241.494,-188.378,96.4644,-3.31129,-133.563,110.27,43.517,-174.893,84.1729,45.4522,9.78443,68.5157,-18.9706,14.1491,835.321,-72.6746,-31.1521,817.511,-45.8934,37.0898,775.11,-89.6049,-72.4651,1051.31,-81.6575,-114.957,1272.77,46.6122,-7.5279,960.588,257.38,-14.6301,975.055,151.711,14.3937,1193.91,295.197,-126.662,464.14,-15.4312,-126.301,474.894,-33.5565,-83.3299,824.533,-18.1158,-78.6434,614.87,327.601,-101.961,839.767,318.086,-60.6,715.132
275,0,694.492,53.0444,1051.24,776.287,60.4835,1018.68,703.121,-6.62805,1014.34,212.47,-183.717,1566.52,67.1886,-181.438,1575.53,106.635,20.5311,1604.72,198.434,0.0880838,1585.46,287.985,-138.78,1375.46,139.286,-52.157,1326.73,-18.9985,-134.299,1380.57,142.735,-170.581,1396.35,458.76,-127.567,1203.01,531.265,-85.0904,1164.95,144.501,-207.648,1134.61,114.414,-184.269,1007.6,196.978,-184.93,1003.88,241.235,-229.416,1288.25,252.62,-1.44026,66.0731,284.082,-135.424,113.968,241.458,-188.339,96.4327,-3.31635,-133.585,110.261,43.4905,-174.919,84.1344,45.454,9.77033,68.513,-18.9597,14.0026,835.363,-72.6151,-31.2972,817.502,-45.8104,36.9585,775.111,-89.6254,-72.581,1051.3,-81.6952,-115.036,1272.77,46.5962,-7.69617,960.518,257.305,-14.8217,975.109,151.655,14.2484,1193.89,295.202,-126.712,464.125,-15.4498,-126.332,474.896,-33.5554,-83.4737,824.55,-18.1273,-78.6091,614.843,327.578,-102.079,839.775,318.077,-60.7231,715.164
276,0,694.307,53.1822,1051.12,776.094,60.7104,1018.67,703.22,-6.73261,1014.59,212.368,-183.73,1566.55,67.1607,-181.326,1575.42,106.467,20.4902,1604.73,198.25,0.0825401,1585.48,287.909,-138.855,1375.51,139.2,-52.1385,1326.75,-19.088,-134.413,1380.58,142.674,-170.606,1396.34,458.873,-127.626,1203.32,531.329,-84.9401,1165.24,144.469,-207.758,1134.64,114.353,-184.383,1007.64,196.951,-185.048,1003.86,241.176,-229.494,1288.31,252.614,-1.45427,66.0992,284.1,-135.455,113.971,241.487,-188.376,96.483,-3.33312,-133.554,110.257,43.5013,-174.946,84.135,45.46,9.79723,68.5317,-18.9353,13.8893,835.344,-72.5807,-31.4388,817.503,-45.7148,36.8133,775.094,-89.6433,-72.7092,1051.28,-81.7489,-115.107,1272.77,46.6132,-7.80307,960.512,257.287,-14.9386,975.152,151.57,14.1451,1193.87,295.186,-126.78,464.15,-15.4552,-126.386,474.885,-33.5565,-83.5052,824.494,-18.0725,-78.1954,614.427,327.57,-102.192,839.764,318.083,-60.8463,715.194
277,0,694.124,53.2593,1050.99,775.92,60.9479,1018.62,703.289,-6.77491,1014.8,212.269,-183.653,1566.56,67.1388,-181.425,1575.47,106.286,20.4646,1604.71,198.077,0.17587,1585.54,287.839,-138.933,1375.57,139.137,-52.2632,1326.72,-19.1586,-134.518,1380.57,142.633,-170.573,1396.36,458.981,-127.715,1203.58,531.395,-84.6996,1165.45,144.423,-207.911,1134.67,114.314,-184.456,1007.61,196.896,-185.259,1003.94,241.118,-229.528,1288.32,252.617,-1.45906,66.1059,284.095,-135.422,113.981,241.478,-188.372,96.4408,-3.34385,-133.567,110.249,43.4665,-174.883,84.0738,45.4311,9.78236,68.4966,-18.8964,13.7224,835.327,-72.5377,-31.59,817.499,-45.6596,36.6864,775.08,-89.6594,-72.7819,1051.25,-81.8285,-115.193,1272.74,46.6022,-7.90478,960.513,257.261,-15.082,975.189,151.518,13.9896,1193.84,295.182,-126.837,464.162,-15.5008,-126.469,474.889,-33.5613,-83.5805,824.505,-18.1705,-78.8369,614.837,327.557,-102.338,839.765,318.094,-60.9575,715.194
278,0,693.897,53.2617,1050.83,775.747,61.1445,1018.57,703.393,-6.92356,1015.03,212.184,-183.7,1566.6,67.0493,-181.423,1575.45,106.11,20.4738,1604.69,197.913,0.154749,1585.54,287.744,-138.974,1375.62,139.048,-52.3836,1326.71,-19.2234,-134.604,1380.57,142.56,-170.614,1396.37,459.074,-127.703,1203.84,531.404,-84.5488,1165.67,144.374,-208.088,1134.75,114.244,-184.663,1007.64,196.85,-185.425,1003.96,241.064,-229.586,1288.39,252.627,-1.45319,66.0897,284.08,-135.425,113.993,241.47,-188.376,96.4363,-3.35549,-133.579,110.231,43.4658,-174.906,84.1152,45.4444,9.76382,68.531,-18.8815,13.6051,835.343,-72.4487,-31.7857,817.507,-45.623,36.5719,775.06,-89.6737,-72.9203,1051.23,-81.8652,-115.301,1272.71,46.598,-8.06163,960.475,257.233,-15.2038,975.243,151.44,13.8821,1193.83,295.165,-126.899,464.165,-15.5303,-126.509,474.901,-33.6078,-83.6299,824.486,-18.1396,-78.651,614.655,327.53,-102.477,839.792,318.081,-61.0913,715.223
279,0,693.714,53.2792,1050.68,775.593,61.2348,1018.5,703.448,-7.0054,1015.21,212.128,-183.639,1566.62,67.0445,-181.464,1575.48,105.902,20.3966,1604.67,197.746,0.153317,1585.56,287.667,-139.03,1375.67,138.973,-52.4561,1326.71,-19.3044,-134.715,1380.55,142.524,-170.658,1396.39,459.196,-127.768,1204.15,531.414,-84.4539,1165.91,144.317,-208.222,1134.77,114.177,-184.779,1007.63,196.817,-185.513,1003.93,240.985,-229.678,1288.43,252.599,-1.46643,66.0919,284.074,-135.432,113.971,241.464,-188.341,96.4259,-3.37434,-133.59,110.213,43.4223,-174.969,84.1172,45.4393,9.74839,68.5409,-18.8616,13.4105,835.286,-72.3777,-32.0064,817.497,-45.5789,36.4078,775.018,-89.6999,-73.1165,1051.24,-81.9066,-115.375,1272.7,46.5862,-8.20141,960.475,257.231,-15.3027,975.289,151.374,13.7375,1193.8,295.142,-126.943,464.178,-15.5602,-126.576,474.875,-33.6195,-83.7381,824.509,-18.1649,-78.6799,614.628,327.482,-102.605,839.798,318.077,-61.259,715.242
280,0,693.54,53.2571,1050.51,775.469,61.2967,1018.43,703.481,-7.12788,1015.35,212.056,-183.7,1566.66,66.9906,-181.555,1575.48,105.709,20.3988,1604.66,197.6,0.152101,1585.58,287.589,-139.064,1375.71,138.908,-52.5892,1326.7,-19.3713,-134.802,1380.55,142.451,-170.704,1396.41,459.289,-127.741,1204.4,531.417,-84.3175,1166.12,144.28,-208.341,1134.81,114.13,-184.965,1007.68,196.748,-185.665,1003.94,240.925,-229.775,1288.49,252.619,-1.48674,66.064,284.081,-135.434,113.99,241.465,-188.364,96.4469,-3.37853,-133.592,110.205,43.4485,-174.896,84.0581,45.4297,9.75526,68.5255,-18.8464,13.2523,835.274,-72.346,-32.2082,817.483,-45.5656,36.2489,774.992,-89.7173,-73.2476,1051.23,-82.0228,-115.566,1272.7,46.5349,-8.35174,960.464,257.231,-15.4478,975.328,151.34,13.6148,1193.75,295.132,-127.011,464.205,-15.5841,-126.643,474.872,-33.6204,-83.8216,824.492,-18.1707,-78.5957,614.522,327.454,-102.763,839.807,318.068,-61.4142,715.276
281,0,693.43,53.2626,1050.39,775.406,61.2451,1018.35,703.495,-7.34156,1015.49,211.977,-183.775,1566.7,66.9479,-181.579,1575.42,105.557,20.3578,1604.64,197.478,0.136205,1585.58,287.518,-139.092,1375.76,138.827,-52.6827,1326.69,-19.4364,-134.861,1380.55,142.387,-170.774,1396.44,459.376,-127.715,1204.71,531.402,-84.1537,1166.34,144.224,-208.507,1134.85,114.052,-185.083,1007.67,196.687,-185.845,1003.96,240.879,-229.846,1288.54,252.636,-1.47728,66.0785,284.073,-135.43,113.991,241.491,-188.416,96.4152,-3.3905,-133.615,110.207,43.3991,-174.989,84.0939,45.4194,9.74125,68.5103,-18.84,13.0568,835.255,-72.289,-32.4324,817.438,-45.5938,36.0669,774.99,-89.7272,-73.4042,1051.18,-82.0742,-115.664,1272.68,46.5056,-8.48435,960.452,257.168,-15.5622,975.371,151.286,13.513,1193.74,295.114,-127.074,464.201,-15.6042,-126.723,474.851,-33.65,-83.9786,824.524,-18.1686,-78.6917,614.49,327.417,-102.961,839.802,318.058,-61.5497,715.308
282,0,693.334,53.1814,1050.27,775.341,61.1292,1018.25,703.5,-7.50931,1015.56,211.911,-183.794,1566.71,66.9328,-181.585,1575.45,105.414,20.3205,1604.61,197.345,0.118665,1585.56,287.472,-139.077,1375.82,138.756,-52.7748,1326.68,-19.5241,-134.963,1380.56,142.36,-170.769,1396.44,459.496,-127.711,1205.04,531.36,-83.9262,1166.49,144.165,-208.662,1134.88,113.989,-185.173,1007.66,196.646,-185.95,1003.98,240.847,-229.866,1288.58,252.625,-1.50245,66.0705,284.073,-135.436,113.997,241.489,-188.375,96.4437,-3.38952,-133.628,110.183,43.4318,-174.972,84.0312,45.4108,9.73135,68.5269,-18.8347,12.8403,835.257,-72.276,-32.6531,817.399,-45.5816,35.8842,774.929,-89.7444,-73.5922,1051.15,-82.1239,-115.759,1272.67,46.4983,-8.63588,960.441,257.132,-15.816,975.384,151.21,13.4307,1193.73,295.103,-127.18,464.209,-15.6483,-126.827,474.879,-33.6782,-84.121,824.525,-18.2078,-78.8044,614.504,327.4,-103.113,839.834,318.034,-61.7005,715.325
283,0,693.301,53.1194,1050.19,775.318,60.9985,1018.15,703.499,-7.74299,1015.65,211.882,-183.777,1566.72,66.8252,-181.571,1575.39,105.29,20.2405,1604.57,197.218,0.177989,1585.58,287.381,-139.116,1375.84,138.664,-52.8568,1326.67,-19.5855,-135.06,1380.54,142.289,-170.827,1396.45,459.495,-127.527,1205.2,531.299,-83.7755,1166.68,144.112,-208.756,1134.92,113.931,-185.325,1007.67,196.606,-186.093,1003.99,240.781,-229.974,1288.64,252.629,-1.44809,66.106,284.073,-135.458,113.987,241.474,-188.401,96.4228,-3.41411,-133.667,110.185,43.4044,-174.908,83.9656,45.4078,9.70013,68.5243,-18.8435,12.6689,835.233,-72.246,-32.8856,817.318,-45.6095,35.6587,774.93,-89.7486,-73.7395,1051.08,-82.1596,-115.867,1272.65,46.5094,-8.80451,960.417,256.467,-16.9325,975.174,151.167,13.3798,1193.71,295.086,-127.226,464.224,-15.6819,-126.89,474.868,-33.6813,-84.2241,824.505,-18.2156,-78.8416,614.422,327.354,-103.322,839.844,318.03,-61.848,715.326
284,0,693.26,53.0461,1050.09,775.276,60.7906,1018.04,703.512,-7.92238,1015.67,211.787,-183.806,1566.78,66.7616,-181.769,1575.51,105.162,20.1981,1604.55,197.11,0.0889113,1585.53,287.293,-139.134,1375.89,138.609,-52.9573,1326.65,-19.6486,-135.158,1380.54,142.203,-170.894,1396.48,459.499,-127.458,1205.39,531.219,-83.6777,1166.8,144.057,-208.876,1134.93,113.894,-185.382,1007.69,196.532,-186.248,1004.02,240.752,-230.001,1288.67,252.631,-1.47728,66.0904,284.074,-135.449,113.994,241.465,-188.382,96.3939,-3.42112,-133.674,110.162,43.3572,-175.053,84.0358,45.4011,9.69595,68.5362,-18.8598,12.461,835.244,-72.2442,-33.1487,817.271,-45.6656,35.4417,774.875,-89.7731,-73.9128,1051.05,-82.2152,-115.984,1272.64,46.4671,-8.9407,960.411,256.45,-17.102,975.198,151.091,13.2752,1193.68,295.079,-127.296,464.229,-15.6993,-126.983,474.865,-33.7147,-84.3673,824.559,-18.2769,-78.9879,614.438,327.317,-103.496,839.88,318.019,-62.0244,715.392
285,0,693.233,52.9087,1050,775.266,60.5697,1017.98,703.479,-8.27403,1015.76,211.708,-183.861,1566.8,66.6386,-181.806,1575.5,105.062,20.1354,1604.51,196.993,0.0553555,1585.52,287.22,-139.127,1375.92,138.53,-53.0207,1326.66,-19.7249,-135.268,1380.52,142.158,-170.97,1396.5,459.449,-127.409,1205.5,531.143,-83.5973,1166.91,144.041,-208.982,1134.97,113.823,-185.527,1007.71,196.467,-186.416,1004.05,240.714,-230.1,1288.77,252.623,-1.51416,66.07,284.049,-135.466,114.004,241.47,-188.389,96.3858,-3.42951,-133.698,110.127,43.3948,-174.96,83.9817,45.3863,9.66985,68.5404,-18.8908,12.2762,835.26,-72.2548,-33.4168,817.199,-45.6893,35.1647,774.82,-89.7896,-74.0944,1051.02,-82.2555,-116.11,1272.63,46.4385,-9.08164,960.388,256.403,-17.3726,975.221,151.018,13.1899,1193.65,295.073,-127.371,464.222,-15.7251,-127.06,474.864,-33.7169,-84.4658,824.519,-18.2986,-79.1253,614.405,327.255,-103.707,839.859,318.012,-62.18,715.382
286,0,693.221,52.7959,1049.92,775.268,60.3473,1017.92,703.479,-8.49426,1015.76,211.609,-183.843,1566.82,66.5381,-181.824,1575.51,104.961,20.057,1604.46,196.879,0.0658064,1585.52,287.151,-139.154,1375.94,138.459,-53.0861,1326.65,-19.7848,-135.358,1380.52,142.085,-171.036,1396.53,459.408,-127.368,1205.59,531.089,-83.5118,1166.98,144.007,-209.126,1135,113.792,-185.695,1007.72,196.427,-186.581,1004.05,240.693,-230.152,1288.82,252.617,-1.49329,66.0914,284.075,-135.479,114.005,241.455,-188.421,96.3997,-3.43152,-133.724,110.138,43.3598,-175.035,83.9466,45.3821,9.64438,68.5496,-18.9439,12.0575,835.224,-72.3635,-33.6199,817.143,-45.7227,34.7508,774.714,-89.8154,-74.3139,1050.99,-82.2952,-116.288,1272.61,46.3935,-9.23589,960.378,256.385,-17.5284,975.242,150.943,13.0898,1193.65,295.066,-127.457,464.247,-15.7403,-127.121,474.861,-33.7901,-84.6505,824.543,-18.2802,-79.1367,614.338,327.201,-103.887,839.873,318.006,-62.3241,715.387
287,0,693.205,52.6683,1049.82,775.32,60.0784,1017.9,703.46,-8.82879,1015.83,211.576,-184.002,1566.89,66.4477,-181.827,1575.45,104.855,20.0001,1604.43,196.779,-0.00944563,1585.48,287.089,-139.191,1375.98,138.385,-53.1466,1326.65,-19.8536,-135.486,1380.52,142.025,-171.106,1396.59,459.349,-127.399,1205.63,531.023,-83.5087,1167.04,143.991,-209.189,1135.02,113.766,-185.763,1007.73,196.41,-186.748,1004.09,240.654,-230.211,1288.87,252.646,-1.52757,66.0571,284.075,-135.475,114.02,241.49,-188.458,96.4348,-3.44723,-133.728,110.117,43.3669,-175.025,83.9272,45.3885,9.66829,68.5328,-18.9934,11.8705,835.218,-72.3442,-33.9111,817.109,-45.7616,34.4055,774.634,-89.8474,-74.5545,1050.96,-82.3269,-116.349,1272.57,46.3758,-9.36982,960.413,256.354,-17.709,975.264,150.851,13.0346,1193.65,295.062,-127.569,464.236,-15.7531,-127.173,474.879,-33.7871,-84.7527,824.541,-18.3099,-79.3179,614.354,327.167,-104.068,839.881,317.986,-62.4652,715.404
288,0,693.228,52.5118,1049.75,775.36,59.8279,1017.86,703.46,-9.0533,1015.86,211.493,-184.014,1566.89,66.3025,-181.916,1575.48,104.777,19.9592,1604.42,196.651,-0.050342,1585.44,287.033,-139.21,1376.01,138.316,-53.2293,1326.65,-19.9177,-135.544,1380.52,141.965,-171.143,1396.58,459.258,-127.44,1205.65,530.967,-83.5442,1167.11,143.982,-209.246,1135.02,113.768,-185.83,1007.72,196.362,-186.887,1004.08,240.647,-230.233,1288.88,252.639,-1.51128,66.0917,284.07,-135.49,114.005,241.493,-188.391,96.3737,-3.44094,-133.744,110.14,43.3468,-175.016,83.9271,45.3804,9.63406,68.5424,-19.0406,11.6394,835.201,-72.4288,-34.1098,817.028,-45.8076,34.0875,774.56,-89.9021,-74.7699,1050.95,-82.3613,-116.496,1272.55,46.3593,-9.52479,960.415,256.329,-17.8469,975.325,150.762,12.9045,1193.62,295.054,-127.676,464.249,-15.7767,-127.223,474.862,-33.81,-84.9551,824.55,-18.4771,-80.1537,614.874,327.153,-104.28,839.88,317.979,-62.5963,715.418
289,0,693.281,52.3587,1049.66,775.359,59.5694,1017.8,703.476,-9.2681,1015.85,211.416,-184.099,1566.88,66.2254,-182.088,1575.53,104.665,19.8824,1604.43,196.579,-0.108715,1585.45,286.976,-139.232,1376.06,138.236,-53.2461,1326.68,-19.9733,-135.673,1380.52,141.904,-171.237,1396.59,459.177,-127.46,1205.63,530.92,-83.5997,1167.15,143.972,-209.387,1135.07,113.777,-185.99,1007.73,196.359,-186.987,1004.09,240.619,-230.283,1288.93,252.633,-1.49055,66.1191,284.08,-135.487,114.029,241.474,-188.469,96.3804,-3.47705,-133.763,110.126,43.36,-175.042,83.9405,45.3646,9.62392,68.573,-19.079,11.4049,835.209,-72.467,-34.3455,816.973,-45.8753,33.8176,774.513,-89.9402,-75.0714,1050.93,-82.4273,-116.634,1272.54,46.3342,-9.7707,960.397,256.282,-17.9834,975.345,150.659,12.8274,1193.62,295.056,-127.759,464.266,-15.7731,-127.325,474.875,-33.7585,-85.1986,824.547,-18.5088,-80.2702,614.876,327.127,-104.427,839.878,317.975,-62.7477,715.419
290,0,693.28,52.2111,1049.63,775.372,59.3348,1017.73,703.492,-9.46303,1015.84,211.326,-184.093,1566.91,66.0877,-182.056,1575.44,104.57,19.803,1604.41,196.486,-0.180747,1585.45,286.916,-139.289,1376.08,138.161,-53.3401,1326.67,-20.0476,-135.77,1380.51,141.84,-171.25,1396.61,459.071,-127.536,1205.6,530.864,-83.6817,1167.17,143.961,-209.481,1135.1,113.756,-186.095,1007.73,196.344,-187.089,1004.09,240.596,-230.373,1288.98,252.615,-1.53623,66.081,284.063,-135.494,114.017,241.501,-188.45,96.3686,-3.47382,-133.77,110.117,43.3446,-175.085,83.9217,45.3667,9.6095,68.5647,-19.1265,11.1309,835.175,-72.4675,-34.5459,816.956,-45.9208,33.5654,774.508,-89.9687,-75.2641,1050.92,-82.529,-116.728,1272.51,46.287,-9.9423,960.443,256.213,-18.0727,975.421,150.555,12.7766,1193.63,295.051,-127.835,464.289,-15.8072,-127.396,474.871,-33.7603,-85.3536,824.534,-18.5406,-80.4526,614.898,327.09,-104.543,839.904,317.956,-62.8398,715.407
