Trajectories,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
,,tt Beau Bras:bras1,,,tt Beau Bras:bras2,,,tt Beau Bras:bras3,,,tt Beau Bras:avantbras2,,,tt Beau Bras:avantbras3,,,tt Beau Bras:main2,,,tt Beau Bras:main3,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
72,0,-1010.78,1.26309,1455.49,-1101.92,30.9257,1194.05,-1010.39,57.7315,1289.53,-1179.06,-145.396,1004.09,-1152.21,-47.3522,1074.25,-1213.36,-165.224,956.245,-1171.48,-200.702,1001.59
73,0,-1010.71,-8.36959,1455.16,-1102.67,20.4098,1193.8,-1011.15,47.8304,1289.1,-1179.26,-157.773,1005.46,-1152.86,-58.773,1074.71,-1213.71,-178.255,958.069,-1171.7,-212.844,1003.56
74,0,-1010.87,-17.8148,1454.92,-1103.41,10.2465,1193.5,-1011.73,37.969,1288.75,-1179.5,-169.255,1005.96,-1153.55,-70.1136,1074.93,-1214.15,-190.267,959.134,-1172.07,-224.261,1004.76
75,0,-1010.94,-27.9981,1454.37,-1103.94,-0.50696,1192.91,-1012.26,27.6301,1287.9,-1179.81,-180.544,1006.57,-1153.78,-81.2107,1074.72,-1214.21,-202.005,959.794,-1172.19,-235.652,1005.59
76,0,-1010.84,-37.6155,1453.36,-1104.38,-11.1247,1192.01,-1012.59,17.7925,1287.04,-1179.58,-191.984,1006.37,-1153.71,-92.2907,1074.21,-1214.31,-213.293,959.86,-1172.25,-246.818,1005.84
77,0,-1010.64,-47.591,1452.26,-1104.31,-21.542,1190.94,-1012.9,7.52428,1285.87,-1179.17,-202.749,1005.34,-1153.81,-103.301,1073.2,-1214.42,-224.318,959.517,-1172.16,-257.408,1005.52
78,0,-1010.63,-57.5804,1451.05,-1104.43,-32.1926,1189.48,-1012.96,-2.53039,1284.57,-1178.76,-213.778,1004.5,-1153.53,-114.176,1071.85,-1214.24,-234.822,958.669,-1171.79,-268.091,1004.66
79,0,-1010.36,-67.8223,1449.64,-1104.14,-43.1547,1188,-1013.07,-13.032,1282.87,-1178.24,-223.915,1002.48,-1153.2,-124.838,1070.15,-1214.01,-245.198,957.328,-1171.35,-278.329,1003.29
80,0,-1010.36,-77.7907,1448.15,-1103.93,-53.5906,1186.13,-1012.97,-23.2892,1281.21,-1177.79,-234.306,1000.59,-1152.6,-135.526,1068.16,-1213.56,-255.318,955.569,-1170.82,-288.655,1001.5
81,0,-1009.98,-88.1198,1446.27,-1103.27,-64.5877,1184.19,-1012.81,-33.831,1279.05,-1176.76,-244.55,998.115,-1151.86,-145.958,1065.9,-1212.67,-265.118,953.319,-1170.01,-298.79,999.27
82,0,-1009.77,-98.3302,1444.25,-1102.68,-75.1258,1181.76,-1012.51,-44.0165,1277.2,-1175.7,-254.242,995.16,-1150.92,-156.257,1063.3,-1211.95,-274.13,950.322,-1169.05,-308.471,996.268
83,0,-1009.67,-108.769,1442.44,-1101.78,-85.7253,1179.52,-1012.16,-54.544,1274.97,-1174.79,-263.856,991.897,-1149.86,-166.465,1060.55,-1210.83,-283.95,947.477,-1168.07,-318.157,993.007
84,0,-1009.2,-119.133,1440.1,-1100.39,-96.3246,1176.96,-1011.71,-65.2815,1272.56,-1173.2,-273.242,987.953,-1148.61,-176.366,1057.5,-1209.69,-292.52,943.473,-1166.9,-327.183,988.992
85,0,-1008.89,-129.14,1438.05,-1099.04,-107.105,1174.49,-1011,-75.523,1270.37,-1171.62,-282.956,984.631,-1147.09,-186.11,1054.41,-1208.35,-301.255,939.339,-1165.54,-336.281,984.878
86,0,-1007.9,-139.31,1435.72,-1097.53,-117.574,1171.92,-1010.12,-85.9785,1267.87,-1170.38,-291.397,979.621,-1145.44,-195.46,1051.02,-1206.46,-310.149,935.456,-1164.2,-344.992,980.299
87,0,-1007.13,-149.269,1433.55,-1095.75,-127.973,1169.31,-1008.94,-96.5362,1265.57,-1168.78,-299.982,975.798,-1143.52,-204.841,1047.79,-1204.92,-318.323,930.757,-1162.36,-353.606,975.567
88,0,-1006.26,-158.89,1431.42,-1093.67,-138.62,1166.93,-1007.51,-106.644,1263.29,-1167.04,-307.73,970.948,-1141.46,-213.75,1044.4,-1203.03,-325.656,925.782,-1160.56,-361.658,970.506
89,0,-1004.92,-168.979,1429.16,-1091.48,-149.014,1164.08,-1005.82,-116.826,1261.08,-1165.41,-315.508,966.745,-1139.16,-222.61,1041.14,-1201.09,-332.968,921.171,-1158.97,-368.921,965.059
90,0,-1003.55,-178.623,1427.23,-1088.87,-159.186,1161.67,-1003.86,-127.048,1258.9,-1162.97,-323.25,961.909,-1136.8,-230.956,1037.68,-1199.15,-340.054,916.262,-1156.62,-376.883,959.862
91,0,-1002.14,-188.348,1424.92,-1085.98,-169.165,1159.29,-1001.67,-137.628,1256.42,-1160.95,-330.708,957.684,-1134.23,-239.396,1034.51,-1196.74,-346.874,911.314,-1154.17,-384.371,954.545
92,0,-1000.56,-198.523,1422.99,-1083.08,-179.024,1156.75,-999.1,-147.802,1254.41,-1158.56,-337.348,952.881,-1131.8,-246.769,1031.09,-1194.55,-353.245,906.483,-1151.73,-391.274,949.037
